tweet,labels
-1,rnjnxan kemana deh kcon nya agustus flight kah
-1,nct_menfess kcon salah
-1,nct_menfess kcon deh salah iya nder
-1,lockeyfess berharap menang voting kah mama didepan mata abu-abu tinggal menangin votingnya road to kcon road to mama
-1,yodreamoo sebagai informasi teman-teman protes komen section kcon mostly nonfans alians fandom popoler banget tap
-1,lockey mudah lockey menyerah kasih kemenangan rtm kcon lockey mesti bertempur
-1,sedih bngt kcon huee lihat drimii smga ditayangin online lagii please sibuk pagi sore
-1,ellysukatido friendly reminder hai kawan-kawan jom support minggu usahawan negara this week ajak family sedara mara
-1,xiaotiwg ngemod game diare kah just ask iya terima kasih jie kepi kah kcon yah mampir nonton
-1,pas baca judulnya wahh dream kcon kaya but it 's okayy have fun saudara laki-laki
-1,btob kcon kecewaa
-1,itshaewxn haewon ketemu ketemu iya kcon
-1,ciipher kcon rookies tolong
-1,malaysia lupakan kcon mari menangis bucu katil
-1,hyerim its like hyeju on kcon tertawa
-1,wekwan jualannya ner yaa habis merch kcon habis kaya official merch lightstick
-1,daisyhwj kya kcon unikon sih kakak takut tbtb kesini
-1,hyeywon seru banget suka lagunya kak yena smiley dance lagu pas kcon
-1,ajgg loona kah kcon
-1,nuiijseong kcon dream dimana kah ina
-1,kpop_herald kcon_official enhypen_members nctsmtown_dream matchasmores gerak jela time cuti sem
-1,kah kcon dream concert acara treasure kayaknya ajeg
-1,traineeatxt lockeycal sukses diliat chart faktor nmixx masuk lineup kcon bagus penjualan album henti masalahin chart
-1,anjing ngehh jadwalnya smtown japan kcon mevet siee
-1,sedih drimis kah kcon galengkap tidak bisa berharap momen anakku
-1,nomor dkmk for kcon so rj will be all alone for his center part iya ih sedih jelek banget mean huhu childrim
-1,ateez enha kcon iya allah apaa
-1,dreamstan diem kabar dream kah kcon Cuma berlima dreamstan sabar curahan hati base kena salty dreamstan sabar muncul sistemjen kesabaran nya nipis sih nge tweet fave
-1,semoga semangat tempur lockey bertambah pas voting road to kcon aduh banget lihat konser correct me if i'm wrong
-1,why why why dreamies kesini giliran beli tiket kah indonesia tbtb announcement kcon huhuhu jodoh beneran
-1,sadar kah kcon
-1,traineeatxt lockeycal agensi keuntungan nya masuk chart nmixx kcon dream concert dan lain-lain senum kcon lockey pilih sekuat tenaga
-1,demul__dee yes peluang sebenernya pasar dream us promosi us dream line up kcon kekuatan dream disana dreamies berpeluang nambah fans
-1,diominic kcon dreamcon tinggal gedung diajak
-1,berharap aapa aespa kcon plis butuh fans
-1,nctzenbase teman-teman acara kcon suka ngejual ls kcon nya yahh warna lsnya ijo neon lihat
-1,kcon jakarta when
-1,kcon tidak ada uang aespa sedih banget
-1,orang marah gara-gara lightsum kcon
-1,maw kcon indonesia euy
-1,waduu mahae gaikut kah kcon ilichil jadwal apaa
-1,membicarakan jadwal kcon anjing kcon drimis berlima marah bilang tidak apa-apa world tour berlima karier drimis ditahan melulu sumpah drimjen bicara marah
-1,gyulbitzz usahanya besok tinggal pasrah takdir yaallah semoga menang road to mcountdown road to kcon road to
-1,iya tidak ada uang jadwal mahae kcon pikir prioritasin mahae tanggal segitu for nothing mikir sia
-1,oh yh ngetweet takut tbtb ptg btob kesini kcon indonesia hai takut banget
